Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app,shop,,Long statement,get_shop_catalog,438,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 275 chars in get_shop_catalog exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_catalog,457,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 247 chars in get_shop_catalog exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_catalog,467,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 128 chars in get_shop_catalog exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_items,546,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 325 chars in get_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_items,568,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 240 chars in get_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_items,578,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 133 chars in get_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_items,584,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 212 chars in get_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,616,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 216 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,637,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 220 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,649,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 133 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,658,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 171 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_item_categories,691,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 470 chars in get_shop_item_categories exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,list_shop_items,825,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 152 chars in list_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,,1,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 128 chars in shop exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long lambda function,test_create_booking_success,214,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A Lambda with 81 chars in test_create_booking_success exceeds the maximum length of 80 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long lambda function,test_create_booking_invalid_quantity,239,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A Lambda with 81 chars in test_create_booking_invalid_quantity exceeds the maximum length of 80 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long lambda function,test_create_booking_out_of_stock,263,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A Lambda with 81 chars in test_create_booking_out_of_stock exceeds the maximum length of 80 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long lambda function,test_create_booking_item_not_found,287,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A Lambda with 81 chars in test_create_booking_item_not_found exceeds the maximum length of 80 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long lambda function,test_create_booking_already_reserved,310,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A Lambda with 81 chars in test_create_booking_already_reserved exceeds the maximum length of 80 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Long identifier,test_generate_pickup_code_length,40,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_generate_pickup_code_length' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Long identifier,test_generate_pickup_code_alphanumeric,46,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_generate_pickup_code_alphanumeric' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Long identifier,test_calculate_total_price_base_only,54,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_calculate_total_price_base_only' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Long identifier,test_calculate_total_price_with_variants,62,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_calculate_total_price_with_variants' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Long identifier,test_calculate_total_price_empty_variants,77,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_calculate_total_price_empty_variants' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Long identifier,test_get_availability_status_in_stock,84,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_get_availability_status_in_stock' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Long identifier,test_get_availability_status_low_stock,90,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_get_availability_status_low_stock' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Long identifier,test_get_availability_status_out_of_stock,97,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_get_availability_status_out_of_stock' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestGetBookingsAPI,Long identifier,test_get_bookings_requires_user_id,107,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_get_bookings_requires_user_id' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestGetBookingsAPI,Long identifier,test_get_bookings_invalid_user_id,113,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_get_bookings_invalid_user_id' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestGetBookingsAPI,Long identifier,test_get_bookings_filter_by_status,148,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_get_bookings_filter_by_status' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long identifier,test_create_booking_requires_body,172,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_create_booking_requires_body' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long identifier,test_create_booking_requires_user_id,177,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_create_booking_requires_user_id' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long identifier,test_create_booking_requires_item_and_shop,186,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_create_booking_requires_item_and_shop' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long identifier,test_create_booking_invalid_quantity,228,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_create_booking_invalid_quantity' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long identifier,test_create_booking_out_of_stock,252,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_create_booking_out_of_stock' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long identifier,test_create_booking_item_not_found,276,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_create_booking_item_not_found' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long identifier,test_create_booking_already_reserved,299,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_create_booking_already_reserved' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCancelBookingAPI,Long identifier,test_cancel_booking_requires_user_id,327,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_cancel_booking_requires_user_id' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCancelBookingAPI,Long identifier,test_cancel_booking_already_cancelled,399,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Identifier'test_cancel_booking_already_cancelled' exceeds the maximum length of 30 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_requires_user_id,179,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 126 chars in test_create_booking_requires_user_id exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_success,212,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 129 chars in test_create_booking_success exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_success,217,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 151 chars in test_create_booking_success exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_invalid_quantity,237,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 129 chars in test_create_booking_invalid_quantity exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_invalid_quantity,242,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 152 chars in test_create_booking_invalid_quantity exceeds the maximum length of 120 characters.
