Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app,app,,Magic number,send_notification,60,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 200 used in send_notification.
flask_app,flask_app,app,,Magic number,send_notification,60,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 500 used in send_notification.
flask_app,flask_app,app,,Magic number,check_empty,78,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 400 used in check_empty.
flask_app,flask_app,app,,Magic number,check_empty,84,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 400 used in check_empty.
flask_app,flask_app,app,,Magic number,login,127,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 401 used in login.
flask_app,flask_app,app,,Magic number,login,126,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 200 used in login.
flask_app,flask_app,app,,Magic number,protected_test,133,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 200 used in protected_test.
flask_app,flask_app,app,,Magic number,get_flights,139,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 200 used in get_flights.
flask_app,flask_app,app,,Magic number,get_all_flights,184,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_all_flights.
flask_app,flask_app,app,,Magic number,get_all_flights,189,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 6 used in get_all_flights.
flask_app,flask_app,app,,Magic number,get_all_flights,185,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_all_flights.
flask_app,flask_app,app,,Magic number,get_all_flights,190,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_all_flights.
flask_app,flask_app,app,,Magic number,get_flight_details,215,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 404 used in get_flight_details.
flask_app,flask_app,app,,Magic number,get_flight_details,214,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 200 used in get_flight_details.
flask_app,flask_app,app,,Magic number,get_flight_by_id,235,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 2 used in get_flight_by_id.
flask_app,flask_app,app,,Magic number,get_flight_by_id,236,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 3 used in get_flight_by_id.
flask_app,flask_app,app,,Magic number,arrivals,243,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 200 used in arrivals.
flask_app,flask_app,app,,Magic number,departures,248,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 200 used in departures.
flask_app,flask_app,app,,Magic number,get_arrivals,291,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 6 used in get_arrivals.
flask_app,flask_app,app,,Magic number,get_arrivals,292,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_arrivals.
flask_app,flask_app,app,,Magic number,get_departures,350,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 9 used in get_departures.
flask_app,flask_app,app,,Magic number,get_departures,351,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 5 used in get_departures.
flask_app,flask_app,app,,Magic number,subscribe,383,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 200 used in subscribe.
flask_app,flask_app,app,,Magic number,subscribe,379,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Magic number 400 used in subscribe.
flask_app,flask_app,__init__ ,,Long statement,,7,/Users/jashwanthnaidu/ASDC project/group01/flask_app/__init__ .py,A line with 125 chars in __init__  exceeds the maximum length of 120 characters.
